"Line","Item","Value"
"Opex % of Income","Budget","0.307068275231983"
"Opex % of Income","LY","0.307105248214781"
"Opex % of Income","Var to Budget","0.000267634673381922"
"Opex % of Income","Var to Budget %","0.000871580345379966"
"Opex % of Income","vs LY","0.000230661690583889"
"Opex % of Income","vs LY %","0.000751083519167247"
"Opex % of Income","YTD Actual","0.307335909905365"
"Opex % of Income","YTD Budget","0.307068275231983"
"Opex % of Income","YTD LY","0.307105248214781"
"Opex % of Income","YTD Var to Budget","0.000267634673381922"
"Opex % of Income","YTD Var to Budget %","0.000871580345379966"
"Opex % of Income","YTD vs LY","0.000230661690583889"
"Opex % of Income","YTD vs LY %","0.000751083519167247"
"Total Cost of Sales","Actual","-5983190885.48"
"Total Cost of Sales","Budget","-5863272330.1"
"Total Cost of Sales","LY","-5752019518.39"
"Total Cost of Sales","Var to Budget","-119918555.379999"
"Total Cost of Sales","Var to Budget %","0.0204524962561229"
"Total Cost of Sales","vs LY","-231171367.089999"
"Total Cost of Sales","vs LY %","0.0401896006004348"
"Total Cost of Sales","YTD Actual","-5983190885.48"
"Total Cost of Sales","YTD Budget","-5863272330.1"
"Total Cost of Sales","YTD LY","-5752019518.39"
"Total Cost of Sales","YTD Var to Budget","-119918555.379999"
"Total Cost of Sales","YTD Var to Budget %","0.0204524962561229"
"Total Cost of Sales","YTD vs LY","-231171367.089999"
"Total Cost of Sales","YTD vs LY %","0.0401896006004348"
"Total Income","Actual","9790783704.21"
"Total Income","Budget","9595916315.92"
"Total Income","LY","9416874739.69"
"Total Income","Var to Budget","194867388.289999"
"Total Income","Var to Budget %","0.020307324686305"
"Total Income","vs LY","373908964.519999"
"Total Income","vs LY %","0.0397062693150262"
"Total Income","YTD Actual","9790783704.21"
"Total Income","YTD Budget","9595916315.92"
"Total Income","YTD LY","9416874739.69"
"Total Income","YTD Var to Budget","194867388.289999"
"Total Income","YTD Var to Budget %","0.020307324686305"
"Total Income","YTD vs LY","373908964.519999"
"Total Income","YTD vs LY %","0.0397062693150262"
"Total Operating Expenses","Actual","-3009059418.42"
"Total Operating Expenses","Budget","-2946601472.4"
"Total Operating Expenses","LY","-2891971654.34"
"Total Operating Expenses","Var to Budget","-62457946.02"
"Total Operating Expenses","Var to Budget %","0.0211966044967486"
"Total Operating Expenses","vs LY","-117087764.08"
"Total Operating Expenses","vs LY %","0.0404871755586835"
"Total Operating Expenses","YTD Actual","-3009059418.42"
"Total Operating Expenses","YTD Budget","-2946601472.4"
"Total Operating Expenses","YTD LY","-2891971654.34"
"Total Operating Expenses","YTD Var to Budget","-62457946.02"
"Total Operating Expenses","YTD Var to Budget %","0.0211966044967486"
"Total Operating Expenses","YTD vs LY","-117087764.08"
"Total Operating Expenses","YTD vs LY %","0.0404871755586835"
"Trading Stores","Actual","28"
"Trading Stores","Budget","28"
"Trading Stores","LY","28"
"Trading Stores","Var to Budget","0"
"Trading Stores","Var to Budget %","0"
"Trading Stores","vs LY","0"
"Trading Stores","vs LY %","0"
"Trading Stores","YTD Actual","28"
"Trading Stores","YTD Budget","28"
"Trading Stores","YTD LY","28"
"Trading Stores","YTD Var to Budget","0"
"Trading Stores","YTD Var to Budget %","0"
"Trading Stores","YTD vs LY","0"
"Trading Stores","YTD vs LY %","0"
